Фамилия	Имя	Отчество	Дата рождения	Серия и номер паспорта
Другакова	Марианна	Степановна	17.04.1967	4095 609157
Рыбалкина	Ксения	Климентьевна	19.07.1982	4931 590345
Шангин	Антон	Ефремович	01.05.1996	4332 512904
Бабкин	Дмитрий	Валентинович	02.07.1974	4640 717220
Искрицкий	Лаврентий	Власович	03.03.1988	4879 218386
Яндуткин	Афанасий	Серафимович	16.01.1987	4759 104108
Фарышев	Никита	Игнатьевич	11.11.1970	4871 801541
Высоцкая	Ника	Григориевна	03.08.1969	4366 555230
Ядыкин	Венедикт	Филиппович	04.09.1989	4824 872234
Сальков	Лаврентий	Степанович	17.09.1986	4927 430360
Яранов	Савва	Наумович	24.09.1981	4887 638639
Ковалевская	Полина	Евгеньевна	12.01.1994	4612 116122
Зухин	Трофим	Гаврннлович	14.04.1988	4165 261525
Золотухина	Алина	Кирилловна	15.07.1971	4759 757322
Жидков	Емельян	Григорьевич	04.08.1988	4095 578482
Шагидзянов	Захар	Даниилович	26.07.1973	4922 743177
Слобожанина	Клара	Валентиновна	20.12.1976	4147 579005
Житков	Константин	Степанович	01.04.1983	4556 846091
Горчакова	Ксения	Наумовна	02.10.1963	4752 758667
Поздняков	Егор	Львович	01.01.1968	4399 334706
Колесова	Юлия	Данииловна	06.04.1990	4018 828483
Этуш	Георгий	Егорович	09.09.1984	4119 274530
Чесноков	Ростислав	Тимофеевич	20.03.1995	4070 706528
Натарова	Варвара	Марковна	20.09.1984	4893 428770
Пушкин	Дмитрий	Фадеевич	12.09.1993	4182 291208
Карасева	Клара	Кирилловна	19.07.1990	4531 820492
Рекунова	Алена	Юлиановна	01.12.1969	4634 735361
Хромченко	Василиса	Трофимовна	15.03.1992	4547 867835
Бегичева	Раиса	Вячеславовна	16.05.1962	4921 523312
Гусаров	Герасим	Климентович	17.01.1981	4024 505848
Яна	Ярослава	Феодосьевна	02.12.1980	4240 186465
Севастьянова	Татьяна	Елизаровна	18.12.1981	4374 914825
Косицкая	Нонна	Данииловна	17.10.1968	4943 403888
Абрашин	Даниил	Алексеевич	19.03.1975	4728 586445
Гринина	Аполлинария	Вячеславовна	14.03.1992	4741 555540
Поникаров	Иван	Иванович	17.02.1973	4568 257114
Охрема	Анфиса	Федоровна	12.10.1983	4255 369107
Нагибин	Яков	Кузьмич	05.09.1973	4730 767895
Трапезников	Виталий	Семенович	20.04.1984	4075 316133
Кабаев	Яков	Иванович	27.01.1971	4927 148193
Кустов	Георгий	Аркадинович	28.09.1992	4666 522148
Беломестин	Петр	Леонидович	17.10.1980	4318 423051
Дябин	Марк	Денисович	06.04.1993	4885 441508
Большов	Егор	Павлович	07.01.1971	4011 268818
Эмскиха	Таисия	Феликсовна	07.08.1977	4337 868476
Аникина	Наталия	Федотовна	12.10.1989	4740 519289
Ященко	Светлана	Петровна	22.12.1976	4877 581892
Белоусов	Вениамин	Федорович	05.05.1990	4227 179571
Маклакова	Дарья	Федоровна	09.12.1996	4987 485939
Оропай	Трофим	Игнатьевич	25.11.1988	4456 323920
Ябуров	Трофим	Савванович	19.02.1970	4775 996980
Низовкина	Ирина	Севастьяновна	21.04.1985	4851 833425
Юматова	Екатерина	Леонидовна	13.07.1963	4516 516119
Бабат	Никита	Степанович	09.07.1990	4721 175930
Слепынин	Гавриил	Игнатьевич	20.09.1985	4163 783964
Онегин	Федор	Елизарович	23.09.1981	4615 268313
Шубин	Никита	Ефимович	26.05.1984	4689 346930
Завразин	Федор	Алексеевич	23.01.1989	4834 616159
Никологорский	Иван	Викторович	04.06.1991	4313 631924
Грешнева	Галина	Александровна	20.10.1987	4539 223722
Матизов	Тимофей	Никифорович	26.03.1979	4025 812685
Якушин	Николай	Даниилович	26.07.1993	4544 360047
Чернышёв	Герасим	Наумович	11.02.1994	4941 443607
Калугер	Екатерина	Феликсовна	11.11.1972	4831 577711
Ермолаев	Вениамин	Григорьевич	18.12.1968	4845 502161
Медведева	Антонина	Никитьевна	07.11.1980	4343 857972
Никонова	Дарья	Денисовна	13.11.1970	4250 563906
Мосенцова	Лидия	Ивановна	15.09.1996	4328 673963
Ясенев	Василий	Игнатьевич	17.08.1974	4491 938141
Гершельман	Игнат	Александрович	04.07.1972	4287 385937
Яржемковский	Захар	Дмитриевич	05.03.1974	4987 666353
